speaker,season,words
Chandler,Season 1,8796
Joey,Season 1,6195
Monica,Season 1,7851
Phoebe,Season 1,6522
Rachel,Season 1,8854
Ross,Season 1,10569
Chandler,Season 2,8248
Joey,Season 2,7207
Monica,Season 2,7822
Phoebe,Season 2,8713
Rachel,Season 2,8600
Ross,Season 2,9382
Chandler,Season 3,8952
Joey,Season 3,8504
Monica,Season 3,8301
Phoebe,Season 3,9177
Rachel,Season 3,8809
Ross,Season 3,10725
Chandler,Season 4,9695
Joey,Season 4,8541
Monica,Season 4,7897
Phoebe,Season 4,8560
Rachel,Season 4,9896
Ross,Season 4,9178
Chandler,Season 5,8611
Joey,Season 5,9731
Monica,Season 5,8703
Phoebe,Season 5,8695
Rachel,Season 5,10352
Ross,Season 5,9234
Chandler,Season 6,10764
Joey,Season 6,10923
Monica,Season 6,8784
Phoebe,Season 6,8372
Rachel,Season 6,11013
Ross,Season 6,10307
Chandler,Season 7,8712
Joey,Season 7,9777
Monica,Season 7,9397
Phoebe,Season 7,7910
Rachel,Season 7,11813
Ross,Season 7,8960
Chandler,Season 8,6262
Joey,Season 8,10695
Monica,Season 8,8768
Phoebe,Season 8,7688
Rachel,Season 8,11650
Ross,Season 8,10295
Chandler,Season 9,10980
Joey,Season 9,9318
Monica,Season 9,9400
Phoebe,Season 9,9397
Rachel,Season 9,9915
Ross,Season 9,10482
Chandler,Season 10,6589
Joey,Season 10,6886
Monica,Season 10,6958
Phoebe,Season 10,7420
Rachel,Season 10,7960
Ross,Season 10,8289
